LÄN;KOM;VALDISTRIKT;LÄN;KOMMUN;VALDISTRIKT;M tal;M proc;C tal;C proc;FP tal;FP proc;KD tal;KD proc;S tal;S proc;V tal;V proc;MP tal;MP proc;SD tal;SD proc;FI tal;FI proc;1016 tal;1016 proc;1054 tal;1054 proc;1108 tal;1108 proc;1124 tal;1124 proc;1127 tal;1127 proc;1130 tal;1130 proc;1155 tal;1155 proc;1156 tal;1156 proc;1161 tal;1161 proc;1183 tal;1183 proc;1188 tal;1188 proc;1191 tal;1191 proc;1192 tal;1192 proc;1193 tal;1193 proc;1203 tal;1203 proc;1224 tal;1224 proc;1225 tal;1225 proc;1227 tal;1227 proc;1228 tal;1228 proc;1240 tal;1240 proc;1241 tal;1241 proc;1244 tal;1244 proc;1245 tal;1245 proc;1246 tal;1246 proc;1247 tal;1247 proc;1248 tal;1248 proc;1249 tal;1249 proc;1250 tal;1250 proc;1251 tal;1251 proc;1252 tal;1252 proc;1253 tal;1253 proc;1254 tal;1254 proc;1255 tal;1255 proc;1259 tal;1259 proc;1262 tal;1262 proc;1263 tal;1263 proc;339 tal;339 proc;450 tal;450 proc;470 tal;470 proc;555 tal;555 proc;ADK tal;ADK proc;AfR tal;AfR proc;AIL tal;AIL proc;AltBr tal;AltBr proc;ALTER tal;ALTER proc;ALV tal;ALV proc;Ar P tal;Ar P proc;BAP tal;BAP proc;BEP tal;BEP proc;BJP tal;BJP proc;BoA tal;BoA proc;Bollp tal;Bollp proc;BOP tal;BOP proc;Bov tal;Bov proc;BP tal;BP proc;BUSP tal;BUSP proc;ByP tal;ByP proc;BÅP tal;BÅP proc;DHA tal;DHA proc;DiD tal;DiD proc;DIR tal;DIR proc;DjuP tal;DjuP proc;DKL tal;DKL proc;DP tal;DP proc;E-aP tal;E-aP proc;ENH tal;ENH proc;EP tal;EP proc;FAP tal;FAP proc;FaV tal;FaV proc;ffs tal;ffs proc;FHT tal;FHT proc;FiA tal;FiA proc;Fil tal;Fil proc;FJK tal;FJK proc;FL tal;FL proc;FNO tal;FNO proc;FOV tal;FOV proc;Fpar tal;Fpar proc;FPO tal;FPO proc;FR tal;FR proc;FRAK tal;FRAK proc;FramP tal;FramP proc;Frams tal;Frams proc;FraP tal;FraP proc;FraPa tal;FraPa proc;FreD tal;FreD proc;Frmp tal;Frmp proc;Frpa tal;Frpa proc;Frpar tal;Frpar proc;FRSP tal;FRSP proc;FSPV tal;FSPV proc;Fsteg tal;Fsteg proc;Ftid tal;Ftid proc;FÖL tal;FÖL proc;FöNyL tal;FöNyL proc;GL tal;GL proc;GPS tal;GPS proc;GÖF tal;GÖF proc;HEL tal;HEL proc;HiT tal;HiT proc;HOP tal;HOP proc;HP tal;HP proc;HS tal;HS proc;Häp tal;Häp proc;Härjp tal;Härjp proc;K tal;K proc;Kap tal;Kap proc;KB tal;KB proc;Kbabo tal;Kbabo proc;KBO tal;KBO proc;KF tal;KF proc;KiM tal;KiM proc;Kirp tal;Kirp proc;KL tal;KL proc;Klip tal;Klip proc;KNEG tal;KNEG proc;KNU tal;KNU proc;KomBä tal;KomBä proc;Komm. tal;Komm. proc;KOMMU tal;KOMMU proc;KomP tal;KomP proc;Komv tal;Komv proc;Kons tal;Kons proc;KOSA tal;KOSA proc;Kp tal;Kp proc;KrVP tal;KrVP proc;KV tal;KV proc;KvP tal;KvP proc;KVS tal;KVS proc;KVäl tal;KVäl proc;KXP tal;KXP proc;Lap tal;Lap proc;LBPO tal;LBPO proc;LFIB tal;LFIB proc;Lhp tal;Lhp proc;LMO tal;LMO proc;L-P tal;L-P proc;LP tal;LP proc;LP.NU tal;LP.NU proc;m s p tal;m s p proc;MaP tal;MaP proc;MBP tal;MBP proc;Mfp tal;Mfp proc;MFR tal;MFR proc;ML tal;ML proc;MOD tal;MOD proc;MOP tal;MOP proc;N tal;N proc;NB tal;NB proc;NE tal;NE proc;NKE tal;NKE proc;NL tal;NL proc;NLV tal;NLV proc;NOR tal;NOR proc;NP tal;NP proc;NS tal;NS proc;NyaU tal;NyaU proc;NÄTIM tal;NÄTIM proc;Ofa tal;Ofa proc;(OP) tal;(OP) proc;OPA tal;OPA proc;OPi tal;OPi proc;PA tal;PA proc;PF tal;PF proc;PNF tal;PNF proc;PP tal;PP proc;PP(N) tal;PP(N) proc;rd tal;rd proc;REAL tal;REAL proc;Refo tal;Refo proc;Ren tal;Ren proc;REP tal;REP proc;RMS tal;RMS proc;RNPA tal;RNPA proc;RNPV tal;RNPV proc;ROOP tal;ROOP proc;ROP tal;ROP proc;ROSP tal;ROSP proc;RS tal;RS proc;Rättv tal;Rättv proc;Röp tal;Röp proc;SAFE tal;SAFE proc;SBÄ tal;SBÄ proc;SDL tal;SDL proc;SFS tal;SFS proc;SIM tal;SIM proc;SJP tal;SJP proc;SJVB tal;SJVB proc;SjvV tal;SjvV proc;SKL tal;SKL proc;SkolP tal;SkolP proc;SKÅ tal;SKÅ proc;SL tal;SL proc;SMD tal;SMD proc;SN tal;SN proc;SocD tal;SocD proc;SOC.P tal;SOC.P proc;SOCV tal;SOCV proc;SoLp tal;SoLp proc;SP tal;SP proc;SPA tal;SPA proc;SPI tal;SPI proc;SPP tal;SPP proc;SPVG tal;SPVG proc;SPÖ tal;SPÖ proc;SR tal;SR proc;STRP tal;STRP proc;S-V tal;S-V proc;SV tal;SV proc;SVD tal;SVD proc;SVKOP tal;SVKOP proc;SVP tal;SVP proc;SÖS tal;SÖS proc;TIA tal;TIA proc;TJP tal;TJP proc;TJÖP tal;TJÖP proc;ToP tal;ToP proc;TuP tal;TuP proc;UddP tal;UddP proc;Union tal;Union proc;ursp tal;ursp proc;USP tal;USP proc;UtvP tal;UtvP proc;VaP tal;VaP proc;VB tal;VB proc;VDM tal;VDM proc;VF tal;VF proc;Vfp tal;Vfp proc;VFÅ tal;VFÅ proc;VOXH tal;VOXH proc;VSKB tal;VSKB proc;VTL tal;VTL proc;VV tal;VV proc;VägV tal;VägV proc;WAX tal;WAX proc;ÅHP tal;ÅHP proc;Ångf tal;Ångf proc;ÅSP tal;ÅSP proc;Ö tal;Ö proc;ÖFA tal;ÖFA proc;ÖHGP tal;ÖHGP proc;ÖHL tal;ÖHL proc;Öland tal;Öland proc;Ölp tal;Ölp proc;ÖP tal;ÖP proc;ÖrP tal;ÖrP proc;ÖstP tal;ÖstP proc;ÖVR tal;ÖVR proc;BLANK tal;BLANK proc;OG tal;OG proc;Rost Giltiga;Rostande;Rostb;VDT
1;80;3918;Stockholms län;Stockholm;Hägersten 18 Västberga V;319;27,08;76;6,45;109;9,25;37;3,14;198;16,81;103;8,74;207;17,57;36;3,06;83;7,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,08;6;0,51;2;0,17;1178;1186;1376;86,19
1;80;3919;Stockholms län;Stockholm;Hägersten 19 Hägerstensåsen S;247;21,09;42;3,59;64;5,47;19;1,62;269;22,97;136;11,61;188;16,05;83;7,09;98;8,37;;;;;;;;;;;;;;;;;;;;;;;;;1;0,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;0,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0,6;;;;;;;;;;;;;;;;;;;;;;;;;2;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,17;12;1,01;;;1171;1183;1512;78,24
1;80;3920;Stockholms län;Stockholm;Hägersten 20 Hägerstensåsen Ö;231;18,3;48;3,8;67;5,31;23;1,82;291;23,06;157;12,44;231;18,3;86;6,81;105;8,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;0,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,4;;;;;;;;;;;;;;;;;;;;;;;;;1;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,16;2;0,16;;;1262;1264;1542;81,97
1;80;3921;Stockholms län;Stockholm;Hägersten 21 Hägerstensåsen V;232;20,17;44;3,83;56;4,87;18;1,57;244;21,22;156;13,57;212;18,43;83;7,22;86;7,48;;;;;;;;;;;;;;;;;;;;;;;;;3;0,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0,52;;;;;;;;;;;;;;;;;;;;;;;;;2;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,17;16;1,37;1;0,09;1150;1167;1460;79,93
1;80;3922;Stockholms län;Stockholm;Hägersten 22 Hägerstensåsen N;236;19,87;48;4,04;59;4,97;30;2,53;251;21,13;140;11,78;237;19,95;67;5,64;106;8,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,42;14;1,16;;;1188;1202;1525;78,82
1;80;3923;Stockholms län;Stockholm;Hägersten 23 Hägerstenshamnen;259;19,09;57;4,2;101;7,44;29;2,14;272;20,04;168;12,38;321;23,66;41;3,02;93;6,85;;;;;;;;;;;;;;;;;;;;;;;;;2;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,22;13;0,95;;;1357;1370;1513;90,55
1;80;3924;Stockholms län;Stockholm;Hägersten 24 Axelsberg;247;21,53;35;3,05;89;7,76;34;2,96;273;23,8;138;12,03;158;13,78;83;7,24;68;5,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0,52;15;1,29;;;1147;1162;1439;80,75
1;80;3925;Stockholms län;Stockholm;Hägersten 25 Mälarhöjden Ö;277;28,41;60;6,15;138;14,15;54;5,54;148;15,18;52;5,33;149;15,28;48;4,92;38;3,9;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;3;0,31;1;0,1;975;979;1130;86,64
1;80;3926;Stockholms län;Stockholm;Hägersten 26 Mälarhöjden mellersta;320;31,65;67;6,63;150;14,84;48;4,75;167;16,52;46;4,55;142;14,05;30;2,97;31;3,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;3;0,3;;;1011;1014;1150;88,17
1;80;3927;Stockholms län;Stockholm;Hägersten 27 Mälarhöjden N;404;32,09;89;7,07;189;15,01;64;5,08;178;14,14;55;4,37;182;14,46;39;3,1;48;3,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,32;;;1259;1263;1431;88,26
1;80;3928;Stockholms län;Stockholm;Hägersten 28 Mälarhöjden S;463;31,98;81;5,59;164;11,33;56;3,87;259;17,89;76;5,25;209;14,43;72;4,97;50;3,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,14;9;0,62;;;1448;1457;1693;86,06
1;80;4001;Stockholms län;Stockholm;Skärholmen 1 Bredäng NÖ;87;10,57;8;0,97;27;3,28;12;1,46;366;44,47;110;13,37;103;12,52;53;6,44;44;5,35;;;;;;;;;;;;;;;;;;;;;;;;;1;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,36;;;;;;;;;;;;;;;;;;;;;;;;;1;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,24;7;0,84;;;823;830;1386;59,88
1;80;4002;Stockholms län;Stockholm;Skärholmen 2 Bredäng NV;74;8,51;7;0,8;19;2,18;11;1,26;448;51,49;134;15,4;91;10,46;51;5,86;26;2,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,34;3;0,34;;;870;873;1390;62,81
1;80;4003;Stockholms län;Stockholm;Skärholmen 3 Bredäng V;105;10,48;6;0,6;21;2,1;16;1,6;552;55,09;107;10,68;93;9,28;62;6,19;26;2,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,3;5;0,5;;;1002;1007;1599;62,98
1;80;4004;Stockholms län;Stockholm;Skärholmen 4 Bredäng Ö;144;13,43;17;1,59;49;4,57;29;2,71;379;35,35;154;14,37;149;13,9;54;5,04;83;7,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,47;;;;;;;;;;;;;;;;;;;;;;;;;1;0,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,19;7;0,65;;;1072;1079;1450;74,41
1;80;4005;Stockholms län;Stockholm;Skärholmen 5 Bredäng S;135;13,27;17;1,67;37;3,64;22;2,16;398;39,13;132;12,98;113;11,11;79;7,77;66;6,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;0,79;;;;;;;;;;;;;;;;;;;;;;;;;1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0,49;7;0,68;;;1017;1024;1621;63,17
1;80;4006;Stockholms län;Stockholm;Skärholmen 6 Sätra N;85;11,3;10;1,33;29;3,86;21;2,79;366;48,67;110;14,63;57;7,58;40;5,32;22;2,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,27;6;0,79;1;0,13;752;759;1257;60,38
